premise,hypothesis,label
A man is setting up a ladder inside a room.,A man lays in the grass and watches the clouds roll by.,2
Five workers working on railroad tracks.,Workers fill potholes on a road.,2
There is a man hanging in the air from a pole.,A man is climbing a pole.,2
A dark complexion man in yellow and maroon shirt works the controls of a machine.,a man runs a bobcat,1
A young man is shooting pool.,A man playing pool with friends at a bar,1
Three young women and one young man singing in an auditorium.,The people are singing in a school production.,1
A man in a striped polo shirt stands on stage in front of a chalkboard while holding a microphone.,A man is wearing shorts.,1
a muzzled greyhound dog is running around a track,There is a dog in this picture.,0
A man in a black shirt and jeans is in midair above a messy bed.,A man jumped onto his bed just as a picture was taken.,1
"Nine people are dressed like mimes, with white makeup on their faces, four are playing musical instruments.",A group of clowns paticipate in a flash mob.,2
Three men in hats are riding horses in an arena in front of a crowd of people.,Three men ride horses.,0
Two men is separate canoes are in an area full of lillypads.,Some people are in canoes.,0
A goalie attempts to block a puck hit by a player at an ice hockey game.,A goalie attempts to stop the other team from scoring in ice hockey.,0
A dark colored bird sitting on a branch of a tree.,A dark colored bird sitting on a tree.,0
Three old men have their hands over each other's at a grand opening.,three old ladies sing,2
A girl in green with glittery fairy wings holds a woman's hand as they walk down a path in a park.,A girl and her mother are walking to a play in a park.,1
"Bicyclist riding on a grass field, wearing a red and yellow uniform, shades, and a helmet.",Someone is bicycling in a marathon.,1
A man in a plaid shirt connecting his black laptop to his microscope.,the man in the plaid shirt was typing on this laptop,1
A group of young boys are playing soccer in front of a small hill,Boys taking a nap.,2
A group of people looking at a little baby with blond-hair.,A group of men admire a neighbor's new truck.,2
A clown in a black and white striped shirts is entertaining a young girl.,There is a clown in the bathroom by himself.,2
A girl with a ponytail of brown hair wearing jeans is walking up a street in front of stores.,A girl is outside.,0
"A woman holding an apple standing next to a display of oranges, apples and melons.",The woman is selling the fruit.,1
A man holds a sign seeking money.,"A man is down on his luck, and is completely destitute.",1
People leaning on a railing at a river.,people are watching the water,1
A young man talks to the operator of a prize booth.,The boy walked right past the prize booth.,2
A woman with a walkie talkie and a bicycle helmet and bicycle standing near another woman in a black jacket.,woman stand near each other,0
Two men that are in a match with one another.,two men kill eachother,2
A little girl in a red jacket and a orange hat is playing hide and seek.,the man is playing duck duck goose,2
A reporter is being taped during a storm.,A reporter is being taped during a quiet sunny day.,2
A man gestures while facing a woman wearing glasses as they sit inside a restaurant that includes a yellow wall.,A man is on a first date with a woman at a restaurant.,1
A man in a gray jacket rides on a wagon being pulled by a donkey.,A woman is wearing a red jacket and riding on a wagon,2
A black dog with a red collar is jumping out of the water.,Dog playing in water,0
A white dog walking beside a bicycler.,A person is on a bike.,0
"A dog running at the shore of a lake, hill in the background.",A dog is outside chasing after a ball.,1
People standing on a street corner in Asian City.,A group of people standing on a street corner.,0
"a martial arts class takes place in Ourense, Spain.","There is a class in Ourense, Spain.",0
"Children sitting on the floor, raising their hands.",The children have a question.,1
Two men climbing a ladder to gain access to a small tree.,Men are busy outside.,0
A clown with a golden wig blows bubbles into the air for a child.,The clown is at the child's birthday party.,1
A white dog walks along a path which has a thin covering of snow flakes.,A dog walks along a path while it snows outside.,0
A woman being carried by two police officers from a crowd.,Police officers are saving the woman from the mob.,0
A dark-complexioned man dressed in an olive drab uniform with a bright yellow belt and turban gestures beyond a raised platform as a man leans over a fence and watches.,A soldier is signaling to a fellow soldier.,1
A young girl plays in the sand on a beach.,A group of people are in the city.,2
many people look over the side of a bridge.,People look over the side of the bridge.,0
"a dog wearing a jacket, pounces a toy.",A dog is trying to grab a toy for its master,1
Blond child wearing a red jacket and crawling on playground equipment.,A child is taking a nap on their bedroom floor.,2
The child playing on the deck has a red bucket on their head.,A kid playing n a deck.,0
Three people and two snowmobiles.,Some people are near a snowmobile.,0
A man a two children posing for a picture in front of a picture of some men bowing,Three boys draw pictures with crayons.,2
Two friends get their picture taken in front of a large pier.,There are people by the pier.,0
"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.",An old woman is wearing a white sundress.,2
a baseball player swings his bat to hit a baseball.,A baseball playing is asleep on the field.,2
"In a laundry room, a man with a shaved head is looking intently in his laundry bag.",The man has a full head of flowing locks.,2
Two asian women smiling and laughing.,Some women are laughing.,1
A woman with short red-hair sitting on a rocky beach tossing a rock into the water.,A bald woman standing on a beach.,2
"A man with a cane, wearing a blue shirt is sitting on a folding chair next to a bicycle.",A man with a cane is sitting.,0
A little girl is standing near a patch of daffodils in a city park.,A sad girl is standing near a patch of daffodils in a city park.,1
"There are two women waving one hand and wearing white shirts, scarves, sunglasses, white gloves, and stewardess hats.",Two stewardesses explain how the plane's saftey systems work.,1
"A man is walking downtown on a walkway, drinking a glass of wine.",A man is walking downtown.,1
Two BMX bikers wearing helmet talking to each other.,Two BMX bikers are swimming.,2
Two ladies walk down a street wearing black lingerie and green skirts with garter belts.,Ladies are running down the street.,2
A girl in a red shirt jumps up to hit a tennis ball.,Two guys in blue shirts playing a tennis match.,2
Two guys are sitting in a room together.,Two men are near each other.,0
"A woman in a blue, tan and beige striped shirt is smoking.",A person in a shirt.,0
Woman being lifted by other women play volleyball.,A woman is lifted onto the shoulders of another woman while playing volleyball.,1
A dark-skinned security officer smiles.,An army officer smiles at a pretty lady.,1
"Two children, one in a red and one in black snow coats, playing in the snow.",A boy and a girl playing in the snow.,1
A woman is holding a crying baby on the floor of a busy ice rink.,A mother and her injured baby.,1
A girl in a purple dress crying on the floor.,The girl just broke up with her boyfriend,1
The goalie with the blue and white jersey is sliding near the goal posts.,The goalie is playing hockey,1
Workers cleaning a set of statues and the surrounding steps.,Workers cleaning the statues.,0
A man with a beard and a navy blue backwards baseball cap stares intently at something in the distance.,A person is concentrating on something far away.,0
A boy on a skateboard is riding on a stone wall,The boy is skateboarding.,0
a few girls on a woooden pier eating ice cream cones,A group of close friends are hanging out.,1
A mountain biker rides a trail through the woods.,The biker is on his way to meet his friends further up the trail.,1
"Two people sit on folding chairs while a third stands, on a lawn near a grill.",A family waits for their dinner to finish cooking on the grill.,1
"Two men are walking down a dirt road with guns, as one carries a dead animal from hunting.",the men are outside,0
"A soldier, wearing fatigues playing the snare drum in the Army's Marching Band with other members of the band in the background.",Two civilians play acoustic guitars for a crowd.,2
Two rodeo clowns are on the dirt.,The two clowns at the rodeo tripped and fell onto the dirt.,1
two young women are both looking at their cellphones,Two women are looking at their cellphone.,0
Firefighter responding to a call.,the firefighter ignores all his calls,2
A black standard poodle is playing with a red and white toy outside.,The dog is running in a yard.,1
An Army cadet is teaching a boy how to do pull-ups.,A father is teaching his son how to do pull-ups.,1
A woman is barbecuing tasty looking food in the park.,"While in the park, a woman grills some delicious looking food.",0
A guy with an old-fashioned camera stands sideways on escalator.,A girl with an old-fashioned camera stands sideways on escalator.,2
A group of people who are wearing costumes are standing in front of a blue building.,People are outside waiting for a snowstorm.,2
A caucasian female hairdresser trims the hair of a young white man wearing a black drape cover.,person cuts hair,0
A girl plays with a necklace as the sun shines behind her.,The girl has a piece of jewelry.,0
People are busy shopping at a grocery store.,People check out the produce at the store,1
"A woman with dark hair and wearing a black tank-top and dark green skirt with a ruffle, is moving in front of a group of people.",a woman is moving in front of a group of people,0
A woman talking on her cellphone and two people ordering a meal.,A woman using her device.,0
A man throws a football on a dry field with a cloudy sky in the background.,A man is physically active at the moment,0
The two men are posing for a photo in the field.,The two men are posing outside.,0
A man and a woman enjoying nature.,A couple enjoying nature.,0
Many people dressed as star wars characters are parading down a street in front of a gas station.,People parading through the alley in costume.,2
Men walking over rocks in a stream.,Some men are chasing each other around.,2
An elderly man in a suit pulling his luggage behind him.,man traveling to london,1
A person in the snow drilling a hole in the ice.,The person is lounging on the beach.,2
Kid smiling looking out the window.,The kid is frowning,2
Artist showing off his work of women's faces and hair.,An artist is sketching a woman's face,2
Bikers race through a forest.,People on bikes are going fast through trees.,0
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons.,A boy gasps for air as he learns to swim.,0
There is a biker riding a bike in midair in an outdoor setting.,A biker is riding a motorcyle outdoors.,2
This young man smiles as he discovers a horseshoe crab in the sand.,The young man is at the beach in his swimsuit getting ready to go swimming.,1
two girls are laying down together on a couch,Two blonde girls are laying down together on a couch.,1
A dirt biker rides up a rocky hill on a motorized dirt bike.,Dirt bikes designed for trail riding,0
A dog runs in a field.,Dog is running to catch a stick,1
"There is a bride and groom with two children, a woman and a man carrying a flag, standing on a stony place.",Two children are in a wedding.,1
A dog digging for his ball in the sand.,The ball is hidden in the sand.,1
Two men with bags are walking along a dirt path toward a domed building.,Two men are running in a track race.,2
Two men dressed in potato sacks pull a parade float.,The two men are dressed as cows.,2
A woman in a black jacket talking on the phone on a street corner.,A woman is ordering office supplies.,1
A man with spiked hair painted red with green tips and wearing a spiked collar and a fishnet undershirt standing and smiling.,The man has spiked hair.,0
A man sweeps outside while carrying a baby on his back in a holder.,The man is sweeping leaves off his sidewalk.,1
A man lifts up a woman in dance as their pose for a picture that is being taken.,A man lifts a woman in dance class.,1
A woman kneels before a sewing machine.,A woman is close to a sewing machine.,0
Two young girls on a playground.,They are sisters.,1
A man dressed in a clown's robe applies makeup in natural sunlight outside of a building.,It is halloween and he is going to party.,2
"A man in a blue tee-shirt, wearing a cap, is riding a white horse down a dirt road, in a rural setting of grass and hills.",Nobody is riding the horse in the picture.,2
"People standing in front of yellow building with the words ""YOU ARE HERE"" hanging upside down.",A group of individuals are outside near a dwelling with faulty signage.,0
A girl in a multicolored coat with fur accents in sitting outdoors holding a stick.,A boy in a multicolored coat with fur accents in sitting outdoors holding a stick.,2
A woman bicycles down the hill on a dirt trail.,The woman is on a bike riding excursion with her friends.,1
"A black woman in a building is handing back a card to someone, she is wearing a worker's uniform.",two people are playing poker.,2
A man and woman in formal dress smile at each other as they dance at a party.,A man and woman are dancing at a party.,0
A young backpacker sits on a bridge overlooking a river.,A man is about to take a bus ride.,2
One young child in a swimsuit jumping off a blue inflatable slide with water.,A kid is playing.,0
A marching band blowing their trumpets.,A marching band playing instruments.,0
A girl in a bikini top and shorts poses for a picture on a mountain overlooking a lake.,A child is getting their picture taken in front of a lake.,0
One man playing soccer while a person in the background watches.,One sad man playing soccer while a person in the background watches.,1
A young boy walking through the grass with a lot of white flowers around him whilst holding a soccer ball.,The grass is healthy,1
A man wearing camouflage pants and a tan shirt holds a drill while another man wearing a hard hat with colors like the American flag holds the board that is being drilled and a third man holds a ladder.,Three men helping to drill a board.,0
"An African American woman donning a black t-shirt with the text ""your daily cup"" works behind the counter of a coffee shop.",an african in a shirt,0
"Two combatants in a rugby stadium making a move on each other, one wearing green with ball and defended by #5 in the maroon colors.",Two combatants are trying to score and prevent the game winning score,1
Asian boy with his sleeves rolled up is standing in front of what appears to be a game board with circular pieces.,There is a boy in front of a game.,0
Two men race bicycles on the street.,People riding bicycles outside.,0
A man waits at a crosswalk holding a motorbike helmet.,A man is waiting at a crosswalk surrounded by a number of people.,1
Men dressed in red and white playing musical instruments.,Men dressed in red and white playing horns.,1
A man in black clothes is crowd surfing at a concert.,A man is at a concert.,0
Two boys are playing a game.,The boys are playing.,0
A man playing a djembe in a crowd of people.,The man is playing the flute.,2
A brown-haired man standing in a green apron with hands on his hips.,Man standing in a green apron with hands on his hips awaiting his girlfriend,1
A DJ is spinning tracks at a club.,The DJ is practicing at home.,2
A woman in yellow walking while a bright yellow car passes near her.,There is an automobile by a woman.,0
"A young boy, arms and legs splayed wide, is leaping into the water on a rocky shoreline.","A young male is in the air, about to fall into a body of water.",0
A couple of people sit outdoors at a table with an umbrella and talk.,The people are enjoying each other outside.,0
"A lady, outside with a megaphone shouting word so everyone around her can hear.",A lady has a megaphone.,0
Girl hanging upside down with city in the background.,Girl playing on a jungle gym in a city.,1
An old man holds the leash of a white mule dragging a red cart.,The mule is asleep.,2
Two men kickboxing.,the men are kickboxing,0
"to me, it looks like a hard Rock singer, on stage.",There is a person on the stage.,0
"two teams playing football, one trying to tackle the other.",There is a sporting competition going on.,0
A girl is pointing to a spot on a map in a park.,A girl tries to figure out where she is in the massive national park.,1
One man focusing deeply while kayaking on a river.,A person is in a watercraft on a body of water.,0
"A man in a black suit with an orange shirt is playing a trumpet, along with other musicians, with background onlookers.",The man is wearing traditional Halloween colors.,0
A man wearing blue jeans and a gray sweatshirt is pulling on a rope in a parking lot with an orange and white crane behind him.,Everybody is taking a rest.,2
A man kneels near a bike wheel while surrounded by other bikes.,A man drives a car.,2
Three women and a little girl play with a small puppy.,Woman chasing a dog away by throwing stones.,2
Men are working on scaffolding outside of a building while other men watch.,People are watching men work.,0
A man stands behind some merchandise in an area with lots of candles.,A man stands in an area with a lot of candles,0
A woman in checkered knee-highs and jean shorts walks down a city sidewalk street while smoking a cigarette.,The woman walking down the street is not smoking.,2
Boy peeking in a girls clothes at her tattoo.,There is a boy and a girl.,0
A man playing a guitar on stage under red light.,A man is eating a guitar.,2
A man in black carrying an orange backpack stands next to a red backpack that is laying in the snow.,A man is going hiking in the snow.,1
Two men sweeping in a large building with decorated walls and pillars.,"Two men are in charge of custodial work at the large building, which features decorated walls and pillars.",1
Two firemen in full gear are getting off a firetruck across the street from a parking garage.,An icecream truck stops for a crowd of people.,2
Two older men in gray jackets.,The women are wearing grey.,2
a small tan dog herding some sheep,A dog herding some sheep.,0
A young man in a red uniform kicking a soccer ball.,The man is playing against other people,1
A man sitting alone on a bench.,A man outdoors.,0
"A horse, with a jockey in white with red polka dots, is making a jump, slightly ahead of a horse being ridden by a jockey in blue.",A horse makes a small jump.,1
A man carves a sculpture with a circular saw.,An artist uses a chainsaw to create art.,0
Three people are on a sidewalk.,Three friends are walking.,0
A Mormon missionary walks his bicycle past a Metro sign.,A man walks his dog to the park.,2
A child plays with a tennis racket on the ground.,A grown woman plays with a tennis racket on the ground.,2
A group of five dark-skinned people sitting at what looks to be a farmer's market right behind a fruit that is green and spiky.,Africans are selling bananas at a supermarket.,2
Several men dressed in blue bikers suites are preparing for the bike race.,The men are wearing blue.,0
A brown headed boy in a gray t-shirt is playing.,A boy is playing.,0
A smiling child dives into a pool.,A small child is on the hill,2
Asian man playing the guitar in an art studio.,The man is paying the harmonica in a history museum.,2
A man in a very nice great button up shirt is signing into a microphone.,The man is not speaking,0
Three men in overalls walk down a sidewalk in the midst of pedestrian traffic.,Three farmers are doing farm work.,2
A man in a red jacket shades the sun from his eyes on a busy street.,a man on a street is shielding his eyes from the sun.,0
A Chinese girl hand off the baton to the other young boy in this relay race for team blue.,A chinese girl is handing off the baton,0
A woman is doing an interpretive dance.,A dancer is performing her art.,0
Two young Asian man in sunglasses walk along a sidewalk with their McDonald's soft drinks.,Two young Asian men walk with a Sprite to drink.,1
A guy sitting at a desk talking on a phone with books laying everywhere.,A man is at his desk and talking on the phone.,0
Toddler stands next to snow covered playhouse.,A toddler wants to play outside,1
A couple enjoys themselves in front of a red curtain.,Couple is in front of red curtain.,0
"The man in the red, hooded sweatshirt looks back and construction is taking place on a shop with Hebrew lettering.",The man sees a private residence being painted.,2
The proud dog returns with the toy it fetched.,The dog fetched a toy bone.,1
People overlooking water.,"The people are cooking spaghetti, indoors.",2
Two people are carrying a large bag filled with a red substance down a ally as a figure in red walks behind them.,The red substance is strawberry jam.,1
A leader at the front of a group is holding her hands in the air just like what all of the people facing her are doing.,A leader is preparing her army to defend the castle against the evil monster.,1
A woman wearing a green scarf on the beach kicks her leg up while a blond small dog stands behind her.,cat on pillow,2
A dog with a blue blanket runs through the grass.,A black dog runs through the grass.,1
Two young girls are talking to each other.,Two kids chat with each other.,0
A person wearing scuba gear is swimming underwater water.,person looks for treasure,1
A person wearing a yellow shirt talks to a little kid.,An adult is playing basketball.,2
A girl in a blue tank top opens a package next to several drinks and a opened can of beans.,A girl got a package and opened it next to other items,0
Little girl in yellow shirt sips a bitter tasting beverage.,A woman is eating a hot dog by a lake.,2
Three people in a line crossing a street in front of a delicatessen.,The street is empty in front of the delicatessen.,2
These five site seers are on the ocean looking out the man is taking pictures the others are looking at the beautiful blue sea.,Five people are in the forest hunting.,2
A couple of children playing in the shallow water with an upraised house nearby.,Children playing water sports,0
A group of people walk down the street waving rainbow flags.,A gay pride parade is in progress.,1
A woman in a red coat takes a picture near marble columns at twilight.,The woman is taking pictures at night.,0
A man climbing a cliff with a rope.,A man rappels down a mountain.,1
A boy is pulling a wild face whilst waving cooking implements in his hands.,A girl makes mud pies.,2
A satisfied cat is perched beside a crystal lamp.,The cat is far away from a crystal lamp.,2
peoples talking with a big television,The TV has a flat screen.,1
"Two men wearing glasses, talking.",Two men are talking.,0
A couple is sitting on some chairs in the winter in what looks to be a park.,A dog is sitting on some chairs in the winter in what looks to be a park.,2
Two Oklahoma Sooner football players talk on the sideline.,Two football players on the sideline.,0
A woman in a swim cap and goggles is swimming outdoors.,A lady is in the water.,0
A group of people are listening to a man in a gray hat speak.,A man in a gray hat gives a political speech.,1
Three children inspecting a patio table.,Three kids are playing at the outside table.,1
A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,A painter is wearing a beret and raincoat.,0
"A male soldier in green military fatigues, inspecting an old, metal weapon, placed on a bed of grass.",A man dressed in jeans and a band t shirt eats a burrito.,2
Man sports fishing off a pier on a sunny day.,A person is trying to catch fish.,0
A person playing with their black dog in the grass.,A person and dog are outside,0
A swimmer prepares to dive in with a small crowd around.,A swimmer prepares to dive with a small corwd watching.,0
Men with black vests are standing in the back as a woman raises a yellow flag.,There are some people in this picture,0
Artwork being observed by people on a large tile sidewalk.,People are in an art gallery.,2
A young boy in a striped shirt is playing with twigs in a grassy field.,The boy is playing outside in a field.,0
"One girl comforts another girl, both in short skirts and tank tops, standing next to a stone building.",There are two girls weariing short skirts and tank tops,0
Seven people playing soccer on a field.,The seven people playing soccer live in Chicago.,1
A little girl wearing a purple shirt is kneeling on the ground with a book while another little girl looks over her shoulder.,A girl in purple reads a book as another girl peers from behind.,0
A man with a red shirt and black hat suspends himself in the air by sitting on a pole and clinging to two wires with his hands.,An daredevil pole sitting.,1
"Two young men in the snow, walking a dog while holding a red long board.",Two men have snow suits on,1
The guy in the gray Wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and Mardi Gras necklaces holding a glass of ale.,The woman is sober.,2
A toddler boy asleep face down cuddling a stuffed animal.,A toddler asleep with his stuffed bear.,1
A girl playing her guitar in her bedroom.,A boy is sitting at his piano.,2
A sandy colored dog walking toward the camera with its leash attached and dragging below.,A loose and rabid dog is wildly running towards the camera.,2
"An old man unwrapping a present covered in newspaper, while a toddler plays with the scraps.",An old man unwraps a present.,0
A group of men playing and singing music while a crowd watches.,Men are performing for a crowd.,0
A woman gives a lecture inside of a class.,woman standing in bus stop,2
Children drive colorful play cars at an amusement park with a little help from some adults.,The children's parents are playing with their kids at the fair.,1
A man wearing a yellow shirt and dark pants is mopping the floor.,The man in the red shirt is sweeping.,2
Shirtless rollerblader performs tricks at a competition.,A rollerblader is doing tricks.,0
A woman is applying lipstick in front of a mirror.,A woman is putting on make-up.,0
Man stands next to woman dressed up as a fake police officer.,A man is pretending to be a police officer.,0
A surfer is riding a wave.,The sea is calm with no waves today.,2
A man receiving a haircut while two other men converse in the background at a barber shop.,The man is getting a sandwich.,2
a boy runs through the grass.,A boy crawls through the mud.,2
Two male workers hauling off a piece of heavy off metal down a staircase.,Two workers are carrying something.,0
A very happy man in a colorful shirt is dancing.,The man begins dancing when he finds out he's won the lottery.,1
A boy is jumping on yellow spots that are painted on the floor of a water fountain.,Boy playing in the foutain.,0
2 woman surfers carrying their boards across the beach.,Two women have been surfing.,1
Baseball player in a 22 jersey catching a baseball.,The player is on a field.,1
a man in yellow pants is snowboarding.,A man is going to win the snowboarding competition.,1
a little girl in a yellow hat is sitting in the grass with her eyes closed and her hand up to her face.,A girl is sitting outdoors.,0
Two climbers climbing a steep mountain face.,The people are climbing a mountain.,0
A man wearing a black jacket sets up his ice cream stand with the help of a small boy wearing a dark blue sweater and a girl holding the pole decorated with cotton candy bags.,a man is setting up his ice cream stand with some kids,0
Asian woman in white shirt standing away from the crowd behind her.,The woman is standing with the rest of the crowd.,2
A woman with glasses is teaching a class on a stage.,There is a man sitting by himself in a ditch.,2
"A group of children are standing in a classroom, with their right hands up in the air, and their left hands holding their right leg up behind their backs.",Children in a classroom.,0
Two young children look at the sidewalk that they stand on,Two young children look at the sidewalk that they stand on and wonder when it was built,1
There are two large dogs running about in a field.,Pets are running away from their owner.,1
A man and a young boy are walking across a street as another man is riding by on a bicycle.,Two men and a boy ride bikes together.,2
A woman is running in a race.,Lady running outdoors.,0
Two children play while being suspended in harnesses.,The children are playing at being birds,1
A man is putting in a lighting fixture.,The child is installing a light fixture.,2
A dog runs for a tennis ball in a backyard with a tile courtyard.,A dog are played,2
Three young men are looking down at what could be and ocean or sea.,The three men are old.,2
People ride motorcycles on a street.,People ride their bikes in a driveway.,2
A man holding a business sign in a crowded street.,The man is holding something.,0
Four individuals donning snowshoes jump simultaneously to post for a picture atop a snowy mountain.,Four people are taking a picture on a snowy mountain.,0
"A group of black boys in a classroom setting wearing white shirts, listening to a speech about UNICEF.",A group of children are listening to a speech.,0
The white dog is chasing a toy that is attached to a string across the grass.,"The white dog is sitting down, watching a toy roll across the grass.",2
A toddler works a colorful puzzle.,A toddler is playing.,0
"Six bicyclists race towards the left, the two in the back are crashing into each other.",More bicyclists in the back will fall.,1
A man is dressed in police clothes with a helmet and shield.,The policeman is wearing his uniform.,0
Men compete in an eating contest.,Every year there is an eating contest and Friends are always competing,0
two men play instruments.,The men are playing musical instruments.,0
two little girls making some kind of art.,Two girls were making things.,1
There is a large group of people standing in grass with most of them holding their hands in the air.,Many people are sleeping in the grass,2
A man walking on the water's shore during a sunset.,A man is walking down a sandy beach.,1
A man working in a foundry.,He is watching tv.,2
people are selling and buying vegetables in a market.,They are buying meat,2
two young girls in colorful bathing suits shoot squirt guns.,Two girls are eating cake.,2
The child sitting with two adults on a stump.,A child sitting with his friends on a stamp.,2
Two black and brown dobermans running in a field playing ball.,The dogs are sleeping infront of the fireplace.,2
A black dog running in a race.,The black dog is winning a race.,1
A woman in a surgical mask holds a very small baby.,A doctor performs an autopsy.,2
A city street where a man in a yellow shirt is looking down on the ground.,a man in a yellow shirt is looking down in grief on a city street.,1
A boy jumps through the air onto something red.,a boy jumping onto something,0
Players are getting ready for a game of laser tag.,People are about to play laser tag.,0
An elderly woman wearing a pink floral dress carrying some magazines.,A woman is carrying reading material.,0
"At a crowded outdoor event, many people are milling about, with four girls playing jump-rope in the immediate foreground.",Four girls play jump rope to impress other people.,1
A man in a turtleneck shirt looks on while a woman in a white shirt deals with the dishes in the dishwasher.,A man watches while a woman does the dishes,0
People on a sidewalk looking into shop windows while other people just keep walking.,People are window shopping.,0
Children watch while an acrobatic team performs stunts.,Children watch a train go past.,2
An eccentric blond woman enjoys solitude in the park.,A woman sits alone.,0
a lot of people bundled up together,There is snow outside.,1
A guy in a black shirt is watching a guy in a green shirt paint beside a body of water.,A sculptor creates a piece of pottery.,2
Lady with straw hat covering face and head standing on a rock in front of the ocean wearing red sandals.,A lady with a straw hat and red sandals on her feet is standing in front of the ocean.,0
A woman is reading a newspaper article.,a woman is concerned by what she reads,1
Young girl in purple and pink snowsuit makes a snow angel in the snow.,There is snow on the ground.,0
The elderly woman holds the little baby while sitting in a chair.,The elderly woman is holding an apple.,2
A man in dress clothing playing a brown piano.,the man is playing bnajo,2
A group of children are huddled together in a yard with a bamboo fence.,Children are outside.,0
A group of women dressed in red dresses are playing hand drums.,The women are playing instruments.,0
a woman sells vegetables in the rain,She sells vegetables for extra income.,1
A group of people wearing warm clothes are having a party outside.,The people are inside.,2
A young child is jumping in the air in front of a large body of water as the sun sets.,A child is playing.,0
A man sitting outside trying to sell lemonade.,Someone is selling beverages.,0
A guitarist on stage playing and singing with his keyboardist in the background.,the guitarist is paid,1
"A busy city is filled with cars stuck in traffic along the road, and a lone man notices the traffic jam.",A reporter for the local news looks at the highway traffic.,1
A man with gray hair and a blond woman sitting on the same side of a table with bikes in the background.,The two men stand by the table.,2
A Celtic marching bands performs on field during a soccer match.,A group performs music during the sports match.,0
"A person in baggy pants and brown hoodie, with a backpack, walks on a sidewalk with signs in Chinese.",The man is in an Irish pub.,2
A lady in a yellow shirt running a race.,A person is exercising.,0
A very young child dressed entirely in red squats in the back of a truck with a good amount of debris in it.,The child squatted in the back of the truck hiding from his dad.,1
A man in black shorts walks with a girl at a festival.,A father walks with his daughter at a festival,1
A little girl in a blue dress points at something and smiles.,A girl is at a museum.,1
A woman carrying a little baby girl through a park.,Through a park the woman carried her baby.,1
A white dog with a life vest accompanies a man in a boat.,man and dog in boat,0
A tractor is driving in a field.,A tractor is driving in a busy shopping mall.,2
Two young boys and a young girl wrestle around outside atop leaves while two other spectators are off to the left.,There are a total of 5 people in this picture,0
A child brushes a play crocodiles teeth.,The child is grooming a dangerous leopard's fur.,2
A worker painting in a scaffolding.,A worker is painting a building.,0
kid swinging on a swing,A kid doing homework indoors.,2
A male hiker wearing a green jacket is posing next to a large glacier.,The jacket is blue,2
Child running on a sidewalk.,A young person going down a path in the sun.,1
A man wearing a gray t-shirt and blue jeans stands ready to hit a golf ball at a driving range.,A man is hoping he will hit a long distance so he win a bet.,1
The man slides in the sand while holding on to his hang glider.,A man is outdoors hang gliding.,0
A small boy in a blue helmet playing with a yellow toy truck.,A small boy is wearing a blue helmet with a red mouth guard.,1
A woman pushing another person in a wheelchair on a large street outside.,A lady is pushing a wheelchair.,0
With a barn in the background a child puts her head through a hole in a cow cutout and smiles for the camera.,a child is smiling,0
a woman sitting on a very large rock smiling at the camera with trees in the background.,A woman sitting on a rock with trees in the background.,0
A skateboarder making a jump.,A skateboarder is laying in the grass,2
A woman reading a book while traveling.,there is someone reading,0
A large orange dog runs through the grass by the water where a large boat is sailing in the background.,There is a cat stuck in a tree.,2
"A lady in blue, taking a close look of the surroundings by looking in the standing camera at park.",The woman is waiting for her target to come into the view of the park's mounted camera.,1
A BMX bicyclist doing a very dangerous trick in some sort of competition.,A BMX bicyclist doing a stunt in some sort of competition.,0
A man wearing a shorts and an orange tank top is kicking a very large red ball with people around him.,Some people are playing a game.,1
a brown dog swimming through a lake with a stick in his mouth.,A white dog runs through a park,2
A person waving is hanging off a zip line.,The person has completed their zip line ride.,1
The little boy in the red shirt put his head out of the window of the train.,The little boy in red but his head out the train window.,0
Elderly people are sitting together at tables and talking.,People are sitting together at tables and talking.,0
A family is standing at the counter of an outdoor sandwich shop.,People are outside.,0
A man throws a green frisbee in a park.,A man plays disc golf.,1
A little boy is playfully jumping off the side of a fountain.,The boy is getting wet.,1
"Two people pose for a picure holding a card that says ""know what this is?""",Two people waiting for their picture to be taken.,0
"A man and a woman, both dressed in white talking to each other in a restaurant.",They are celebrating their wedding,1
"A man is standing in front of a bright lamp in an otherwise dark room, and behind him are a ladder and a half-painted wall with some graffiti writing.",A woman paints graffiti.,2
An overweight man dressed warmly and all in black stands in a subway.,The man is skinny.,2
A blue bird flying over water.,A bird is flying outside.,0
A young girl with curly hair wearing a pink shirt currycombs a chestnut horse.,A young girl takes care of a horse.,0
Man paddling a boat on a river near the bank.,A man is traveling on a river.,0
A group of people standing on a hillside decorated with yellow flowers as fog rolls over a nearby mountainside.,There are people standing outside.,0
A picture of a sidewalk in a city with people and cars.,People walking in a city,0
A Man in a yellow hat is throwing a water balloon.,The man is wearing a blue hat.,2
A little girl is playing in a puddle on a cold day.,A young girl plays outside in winter.,1
A boy with a brown shirt is holding onto a person with a white shirt around a spray of water.,A boy and another person enjoy their time in the water sprinkler.,1
An elderly man with a beard in a dark suit is walking through a rainy city.,An old man is walking in the rain.,0
Police officers in Madrid talking.,Police officers are speaking spanish to one another.,1
